def,ID pers,ID,ID loan,п1,п2,п3,п4,п5,п6,п7,п8,п9,п10,п11,п12,п13,п14,п15,п16,п17,п18,п19,п20,п21,п22,п23,п24,п25,п26,п27,п28,п29,п30,п31,п32,п33,п34,п35,п36,п37,п38,п39,п40,п41,п42,п43,п44,п45,п46,п47,п48,п49,п50,п51,п52,п53,п54,п55,п56,п57,п58,п59,п60,п61,п62,п63,п64,п65,п66,
0,173359,53.040121.002,53-050121-1-1,Престиж,Нет,Нет,24.9,5500,5500,36,36,54,1,бе,за,2,с,б,6,0,0,в,п,п,57,у,Нет,Нет,Нет,0,7,9768.99,9768.99,9548.7,9548.7,и,10.45,10684.67,дз,0,0,10684.67,Да,53000,04.01.2021,,дк,947,Нет,Да,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,5500,Нет,Да,9,
0,0972QL,55.040121.001,55-040121-1-1,Классик,Нет,Да,24.9,3100,3100,36,36,21,2,бе,нв,1,р,б,1,0,0,сс,п,с,11,зо,Нет,Нет,Нет,0,0,264.87,264.87,264.87,264.87,р,27.27,550.55,дз,470.07,852.8,550.55,Нет,55000,04.01.2021,,зн,292,Нет,Да,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,3100,Нет,Да,11,
0,496068,84.040121.001,84-040121-1-1,Престиж,Нет,,24.9,1500,1200,36,36,47,2,бе,нв,1,с,б,17,0,0,сс,п,с,20,т,Нет,Нет,Нет,0,0,529.42,529.42,296.7,296.7,р,39.4,865.1,дз,802.72,977.2,865.1,Да,84000,04.01.2021,,и,663,Нет,Да,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,1200,Нет,Да,19,
0,091AVO,01.050121.001,50-110121-1-1,Престиж,Да,Нет,24.9,9000,9000,36,36,43,2,бе,нв,1,а,б,16,2,0,в,п,п,24,пн,Нет,Нет,Нет,0,0,13498.81,13498.81,12767.8,12767.8,и,8.29,14070.17,дз,851.13,0,14070.17,Да,50710,06.01.2021,,и,989,Нет,Да,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,9000,Нет,Да,65,
0,0973AK,54.050121.002,54-050121-1-1,Классик,Нет,Да,24.9,3000,2800,36,36,57,1,бе,нв,1,и,н,0,0,0,с,п,р,177,у,Нет,Нет,Нет,0,0,239.23,239.23,234.25,234.25,р,38.5,624.91,дз,612.81,798.5,624.91,Да,54000,05.01.2021,,зн,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,2800,Нет,Да,177,
0,0973U2,52.060121.001,52-060121-1-1,Классик,Нет,Нет,24.9,700,700,36,36,26,1,бе,ос,1,р,б,5,1,0,сс,п,с,73,сх,Нет,Нет,Нет,0,1,186.35,186.35,252.91,252.91,р,22.07,830.87,дз,900.25,787.1,830.87,Да,52000,06.01.2021,,и,,Нет,Нет,Нет,Да,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,700,Нет,Да,73,
0,733059,54.060121.005,54-130121-1-1,Премиум,Да,Да,24.9,9000,1000,36,36,52,1,бе,за,1,с,р,0,2,0,в,п,пр,209,б,Нет,Да,Нет,0,1,2826.03,2826.03,2364.04,2364.04,р,39.82,4797.39,дз,4644.23,1713.8,4797.39,Да,54000,12.01.2021,,сб,144,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,1000,Нет,Да,116,
0,220964,55.060121.001,55-060121-1-1,Престиж,Нет,Нет,24.9,4050,4050,36,36,35,1,бе,за,1,р,б,15,3,0,сс,п,п,20,у,Нет,Нет,Нет,1,5,1538.8,1538.8,1423.3,1423.3,и,9.18,2253,дз,0,0,2253,Да,55000,06.01.2021,,дк,609,Нет,Нет,Нет,Нет,24.9,,36,Нет,Да,Нет,Нет,Нет,Нет,Нет,,Да,Да,4050,Нет,Да,,
0,219760,74.060121.001,74-060121-1-1,Классик,Нет,Нет,24.9,6000,6000,36,36,49,1,бе,нв,1,с,б,20,1,0,в,п,п,252,т,Нет,Нет,Нет,0,3,1366.48,1366.48,1218.19,1218.19,и,29.92,2150,дз,80.63,0,2150,Да,74000,06.01.2021,,зн,,Нет,Нет,Нет,Да,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,Да,Да,6000,Нет,Да,33,
1,1057A4,86.060121.001,86-130121-1-1,Престиж,Да,Нет,24.9,3000,2400,36,36,31,1,бе,за,1,р,б,2,1,0,сс,п,с,16,т,Нет,Нет,Нет,0,0,307.75,307.75,224.15,224.15,р,39.47,886.27,дз,801.93,977.2,886.27,Да,86000,06.01.2021,,и,,Нет,Нет,Нет,Нет,24.9,,36,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,2400,Нет,Да,16,
